wine number,acidity type 1,acidity type 2,citric acid,residual sugar,chlorides,sulfur dioxide type 1,sulfur dioxide type 2,pH,sulphates,alcohol,density,color,quality
138,13.2,0.46,0.52,2.2,0.071,12,35,3.1,0.56,9,1.0006,R,6
139,6.6,0.29,0.31,3.9,0.027,39,96,3.24,0.6,12.6,0.99035,W,8
140,7.4,0.26,0.31,7.6,0.047,52,177,3.13,0.45,8.9,0.9962,W,6
141,6.6,0.855,0.02,2.4,0.062,15,23,3.54,0.6,11,0.99627,R,6
142,8,0.33,0.53,2.5,0.091,18,80,3.37,0.8,9.6,0.9976,R,6
143,6.7,0.16,0.36,2,0.045,24,131,3.3,0.59,10.5,0.99284,W,6
144,7.1,0.26,0.19,8.2,0.051,53,187,3.16,0.52,9.7,0.996,W,5
145,5.7,0.15,0.28,3.7,0.045,57,151,3.22,0.27,11.2,0.9913,W,6
146,7.6,0.27,0.52,3.2,0.043,28,152,3.02,0.53,11.4,0.99129,W,6
147,6.3,0.17,0.23,5.7,0.048,44,147,3.08,0.54,10,0.99382,W,5
148,7.3,0.3,0.74,13.5,0.039,46,165,3.02,0.4,8.7,0.9982,W,5
149,7,0.15,0.28,14.7,0.051,29,149,2.96,0.39,9,0.99792,W,7
150,7.4,0.58,0,2,0.064,7,11,3.45,0.58,11.3,0.99562,R,6
151,6.1,0.3,0.56,2.8,0.044,47,179,3.3,0.57,10.9,0.9924,W,7
152,6.1,0.28,0.35,12.8,0.048,63,229,3.08,0.4,8.9,0.9975,W,5
153,6.6,0.12,0.25,1.4,0.039,21,131,3.2,0.45,11.2,0.99114,W,7
154,7.7,0.27,0.49,3.8,0.037,46,139,3.04,0.38,11.6,0.99116,W,6
155,7.4,0.3,0.32,1.7,0.03,23,128,3.17,0.66,10.9,0.9929,W,5
156,7.1,0.29,0.34,7.8,0.036,49,128,3.21,0.4,10.7,0.99397,W,6
157,12.5,0.38,0.6,2.6,0.081,31,72,3.1,0.73,10.5,0.9996,R,5
158,9,0.53,0.49,1.9,0.171,6,25,3.27,0.61,9.4,0.9975,R,6
159,6.4,0.24,0.49,5.8,0.053,25,120,3.01,0.98,10.5,0.9942,W,6
160,7.2,0.61,0.08,4,0.082,26,108,3.25,0.51,9.4,0.99641,R,5
161,7.2,0.21,0.33,3,0.036,35,132,3.25,0.4,11,0.9928,W,6
162,6.8,0.18,0.28,9.8,0.039,29,113,3.11,0.45,10.9,0.99406,W,7
163,6,0.24,0.27,1.9,0.048,40,170,3.64,0.54,10,0.9938,W,7
164,9.2,0.25,0.34,1.2,0.026,31,93,2.93,0.37,11.3,0.9916,W,7
165,8.2,0.24,0.49,9.3,0.038,52,163,3.02,0.33,10.6,0.9952,W,6
166,5.1,0.42,0,1.8,0.044,18,88,3.68,0.73,13.6,0.99157,R,7
167,6.9,0.33,0.31,4.2,0.04,21,93,3.18,0.48,13.4,0.9896,W,7
168,7,0.22,0.3,1.8,0.065,16,20,3.61,0.82,10,0.99672,R,6
169,8.4,0.2,0.38,11.8,0.055,51,170,3.34,0.82,8.9,1.0004,W,6
170,6.9,0.28,0.41,1.4,0.016,6,55,3.16,0.4,13.4,0.98876,W,5
171,7.4,0.16,0.27,15.5,0.05,25,135,2.9,0.43,8.7,0.9984,W,7
172,7.7,0.32,0.62,10.6,0.036,56,153,3.13,0.44,8.9,0.9978,W,6
173,6.8,0.27,0.3,13,0.047,69,160,3.16,0.5,9.6,0.99705,W,6
174,8.2,0.27,0.43,1.6,0.035,31,128,3.1,0.5,12.3,0.9916,W,6
175,7.2,0.31,0.24,1.4,0.057,17,117,3.16,0.35,10.5,0.9928,W,5
176,6.5,0.22,0.32,2.2,0.028,36,92,3.27,0.59,11.9,0.99076,W,7
177,7.6,0.36,0.49,11.3,0.046,87,221,3.01,0.43,9.2,0.9984,W,5
178,6.2,0.28,0.33,1.7,0.029,24,111,3.24,0.5,12.1,0.99,W,6
179,7,0.58,0.28,4.8,0.085,12,69,3.32,0.7,11,0.99633,R,6
180,7,0.6,0.3,4.5,0.068,20,110,3.3,1.17,10.2,0.99914,R,5
181,9.4,0.5,0.34,3.6,0.082,5,14,3.29,0.52,10.7,0.9987,R,6
182,5.9,0.645,0.12,2,0.075,32,44,3.57,0.71,10.2,0.99547,R,5
183,6.9,0.19,0.32,7.9,0.042,30,130,3.4,0.39,10.5,0.99456,W,6
184,13,0.47,0.49,4.3,0.085,6,47,3.3,0.68,12.7,1.0021,R,6
185,6.5,0.23,0.39,1.9,0.036,41,98,3.19,0.43,11.9,0.99,W,7
186,6.6,0.84,0.03,2.3,0.059,32,48,3.52,0.56,12.3,0.9952,R,7
187,7.8,0.735,0.08,2.4,0.092,10,41,3.24,0.71,9.8,0.9974,R,6
188,6.8,0.35,0.32,2.4,0.048,35,103,3.28,0.46,12,0.9911,W,8
189,7.1,0.32,0.34,14.5,0.039,46,150,3.38,0.5,12.5,0.995,W,8
190,6.6,0.39,0.38,9.7,0.053,49,226,3.3,0.57,9.4,0.99787,W,6
191,6.8,0.27,0.29,4.6,0.046,6,88,3.34,0.48,10.6,0.99458,W,4
192,6.4,0.14,0.31,1.2,0.034,53,138,3.38,0.35,11.5,0.99084,W,7
193,6.4,0.28,0.29,1.6,0.052,34,127,3.48,0.56,10.5,0.9929,W,7
194,5.6,0.15,0.26,5.55,0.051,51,139,3.47,0.5,11,0.99336,W,6
195,6.1,0.21,0.3,6.3,0.039,47,136,3.27,0.31,12.7,0.99068,W,6
196,6.8,0.21,0.31,2.9,0.046,40,121,3.07,0.65,10.9,0.9913,W,7
197,5.9,0.37,0.3,1.5,0.033,35,95,3.36,0.56,12,0.98986,W,7
198,5.9,0.32,0.39,3.3,0.114,24,140,3.09,0.45,9.2,0.9934,W,6
199,6.6,0.25,0.33,8.5,0.042,29,141,3.28,0.6,10.4,0.99546,W,5
200,8.5,0.22,0.34,0.7,0.04,5,25,3.04,0.37,10.5,0.9918,W,4
201,6.9,0.54,0.32,13.2,0.05,53,236,3.2,0.5,9.6,0.9973,W,5
202,6.3,0.36,0.19,3.2,0.075,15,39,3.56,0.52,12.7,0.9956,R,6
203,5.8,0.27,0.22,12.7,0.058,42,206,3.32,0.38,12.3,0.9946,W,6
204,7.8,0.3,0.4,1.8,0.028,23,122,3.14,0.39,10.9,0.9914,W,7
205,6.9,0.14,0.29,9.9,0.056,30,91,3.19,0.33,9.9,0.99512,W,6
206,7.6,0.28,0.17,1.6,0.046,28,117,3.08,0.43,10,0.99288,W,5
207,6.6,0.25,0.3,14.4,0.052,40,183,3.02,0.5,9.1,0.998,W,6
208,10.2,0.67,0.39,1.9,0.054,6,17,3.17,0.47,10,0.9976,R,5
209,7.8,0.55,0,1.7,0.07,7,17,3.26,0.64,9.4,0.99659,R,6
210,6.2,0.36,0.22,5.25,0.038,44,145,3.22,0.4,11.2,0.99184,W,6
211,6.2,0.34,0.25,12.1,0.059,33,171,3.14,0.56,8.7,0.99769,W,6
212,6.6,0.31,0.37,6.2,0.052,13,164,3.24,0.39,8.8,0.99602,W,4
213,5.7,0.18,0.36,1.2,0.046,9,71,3.7,0.68,10.9,0.99199,W,7
214,7.8,0.53,0.33,2.4,0.08,24,144,3.3,0.6,9.5,0.99655,R,5
215,6.3,0.37,0.28,6.3,0.034,45,152,3.29,0.46,11.6,0.9921,W,7
216,5.9,0.46,0.14,2.7,0.042,27,160,3.46,0.51,10.6,0.9931,W,7
217,6.2,0.38,0.42,2.5,0.038,34,117,3.36,0.59,11.6,0.99132,W,7
218,8,0.34,0.49,9,0.033,39,180,3.13,0.38,12.3,0.9936,W,8
219,8.2,0.27,0.39,7.8,0.039,49,208,3.31,0.51,9.5,0.9976,W,6
220,5.3,0.31,0.38,10.5,0.031,53,140,3.34,0.46,11.7,0.99321,W,6
221,7.1,0.21,0.72,1.6,0.167,65,120,2.97,0.51,9.2,0.99324,W,5
222,5.6,0.27,0.37,0.9,0.025,11,49,3.29,0.33,13.1,0.98845,W,6
223,7.2,0.57,0.06,1.6,0.076,9,27,3.36,0.7,9.6,0.9972,R,6
224,7.5,0.38,0.33,9.2,0.043,19,116,3.08,0.42,11.4,0.99444,W,6
225,6.8,0.2,0.38,4.7,0.04,27,103,3.37,0.58,10.7,0.994,W,6
226,6.8,0.24,0.31,18.3,0.046,40,142,3.3,0.41,8.7,1,W,5
227,7.9,0.21,0.4,1.2,0.039,38,107,3.21,0.54,10.8,0.992,W,6
228,5.8,0.34,0.21,7.2,0.041,48,146,3.16,0.49,9.8,0.99441,W,5
229,7,0.15,0.28,14.7,0.051,29,149,2.96,0.39,9,0.99792,W,7
230,6.4,0.64,0.21,1.8,0.081,14,31,3.59,0.66,9.8,0.99689,R,5
231,7.4,0.31,0.26,8.6,0.048,47,206,3.26,0.36,9.1,0.9964,W,5
232,7.3,0.2,0.29,19.5,0.039,69,237,3.1,0.48,9.2,1.00037,W,6
233,6.4,0.42,0.19,9.3,0.043,28,145,3.23,0.53,10.98,0.99433,W,5
234,7.7,0.16,0.36,5.9,0.054,25,148,3.25,0.54,10.2,0.99578,W,6
235,6,0.28,0.27,2.3,0.051,23,147,3.23,0.67,10.3,0.994,W,6
236,7.6,0.3,0.22,10.2,0.049,57,191,3.08,0.4,9.3,0.9966,W,6
237,8.1,0.19,0.58,16.65,0.049,48,181,3.2,0.62,9.1,1.0006,W,6
238,7.2,0.37,0.32,2,0.062,15,28,3.23,0.73,11.3,0.9947,R,7
239,7.7,0.24,0.31,1.3,0.047,33,106,3.22,0.55,10.8,0.993,W,6
240,7.1,0.19,0.28,3.6,0.033,16,78,2.91,0.78,11.4,0.993,W,6
241,8.7,0.22,0.42,2.3,0.053,27,114,2.99,0.43,10,0.994,W,5
242,6.2,0.22,0.28,2.2,0.04,24,125,3.19,0.48,10.5,0.9917,W,6
243,6,0.19,0.26,12.4,0.048,50,147,3.3,0.36,8.9,0.9972,W,6
244,6.9,0.19,0.6,4,0.037,6,122,2.92,0.59,10.4,0.99255,W,4
245,7.3,0.19,0.49,15.55,0.058,50,134,3.42,0.36,9.1,0.9998,W,7
246,7,0.35,0.31,1.8,0.069,15,162,3.18,0.47,9.4,0.9944,W,5
247,6.9,0.4,0.22,5.95,0.081,76,303,3.4,0.57,9.4,0.99705,W,5
248,6.9,0.19,0.4,1.4,0.036,14,55,3.08,0.68,11.5,0.9909,W,7
249,6.9,0.21,0.49,1.4,0.041,15,164,3.25,0.63,11,0.9927,W,5
250,5.7,0.23,0.25,7.95,0.042,16,108,3.44,0.61,10.3,0.99486,W,6
251,6.5,0.18,0.41,14.2,0.039,47,129,3.28,0.72,10.3,0.99678,W,7
252,7.5,0.21,0.34,1.2,0.06,26,111,3.51,0.47,10.7,0.9931,W,6
253,6,0.2,0.24,5.3,0.075,49,201,3.21,0.43,9.5,0.99466,W,5
254,6.9,0.29,0.3,8.2,0.026,35,112,3,0.37,12.3,0.99144,W,6
255,6.4,0.15,0.4,1.3,0.053,61,146,3.17,0.68,11,0.99112,W,6
256,6.8,0.18,0.24,9.8,0.058,64,188,3.13,0.51,10.6,0.9952,W,6
257,7.2,0.2,0.22,1.6,0.044,17,101,3.37,0.53,10,0.99471,W,5
258,6.2,0.21,0.27,1.7,0.038,41,150,3.49,0.71,10.5,0.9933,W,7
259,6.7,0.28,0.34,8.9,0.048,32,111,3.25,0.54,11,0.99455,W,7
260,6.6,0.26,0.21,2.9,0.026,48,126,3.22,0.38,11.3,0.99089,W,7
261,7.1,0.3,0.49,1.6,0.045,31,100,3.4,0.59,10.2,0.9942,W,5
262,7.3,0.49,0.1,2.6,0.068,4,14,3.3,0.47,10.5,0.99562,R,5
263,7.6,0.52,0.49,14,0.034,37,156,3.14,0.38,11.8,0.9958,W,7
264,5.3,0.76,0.03,2.7,0.043,27,93,3.34,0.38,9.2,0.9932,W,5
265,5.7,0.22,0.22,16.65,0.044,39,110,3.24,0.48,9,0.99855,W,6
266,6.7,0.17,0.27,1.4,0.032,39,149,3.4,0.52,10.5,0.99254,W,5
267,9.1,0.28,0.49,2,0.059,10,112,3.15,0.46,10.1,0.9958,W,5
268,7.3,0.33,0.4,6.85,0.038,32,138,3.03,0.3,11.9,0.992,W,7
269,6.2,0.33,0.19,5.6,0.042,22,143,3.15,0.63,9.9,0.99425,W,5
270,6.8,0.37,0.47,11.2,0.071,44,136,2.98,0.88,9.2,0.9968,W,5
271,7,0.28,0.33,14.6,0.043,47,168,3.34,0.67,8.8,0.9994,W,6
272,8.8,0.64,0.17,2.9,0.084,25,130,3.23,0.54,9.6,0.99818,R,5
273,13.4,0.27,0.62,2.6,0.082,6,21,3.16,0.67,9.7,1.0002,R,6
274,6.6,0.29,0.44,9,0.053,62,178,3.02,0.45,8.9,0.99685,W,5
275,7.1,0.23,0.24,5.4,0.039,60,196,3.19,0.78,10,0.9948,W,4
276,6.2,0.25,0.54,7,0.046,58,176,3.19,0.7,10.4,0.99454,W,5
277,8.2,1,0.09,2.3,0.065,7,37,3.32,0.55,9,0.99685,R,6
278,7.3,0.24,0.34,15.4,0.05,38,174,3.03,0.42,9,0.9983,W,6
279,6.8,0.32,0.34,6,0.05,5,129,3.19,0.4,9.1,0.9953,W,5
280,7.5,0.24,0.62,10.6,0.045,51,153,3.16,0.44,8.8,0.99779,W,5
281,6.1,0.41,0,1.6,0.063,36,87,3.27,0.67,10.8,0.9914,W,6
282,7.5,0.22,0.33,6.7,0.036,45,138,3.2,0.68,11.4,0.9939,W,6
283,6.7,0.24,0.29,14.9,0.053,55,136,3.03,0.52,9,0.99839,W,5
284,5.6,0.28,0.28,4.2,0.044,52,158,3.35,0.44,10.7,0.992,W,7
285,7.6,0.27,0.32,1.2,0.043,23,72,3.06,0.68,10.5,0.99236,W,5
286,8.3,0.17,0.31,1.5,0.049,48,153,3.12,0.58,9.4,0.9942,W,6
287,7.2,0.21,0.36,15.7,0.045,68,183,3.25,0.76,9.4,0.99922,W,5
288,6.5,0.28,0.35,9.8,0.067,61,180,3.15,0.57,9,0.9972,W,4
289,9.6,0.77,0.12,2.9,0.082,30,74,3.3,0.64,10.4,0.99865,R,6
290,7,0.57,0.1,8.3,0.094,23,188,3.4,0.47,9.2,0.9972,W,4
291,7.7,0.39,0.28,4.9,0.035,36,109,3.19,0.58,12.2,0.9918,W,7
292,5.7,0.18,0.22,4.2,0.042,25,111,3.35,0.39,9.4,0.994,W,5
293,6.3,0.29,0.29,3.3,0.037,32,140,3.17,0.36,12.8,0.9895,W,7
294,6,0.36,0.16,6.3,0.036,36,191,3.17,0.62,9.8,0.9942,W,5
295,5,0.61,0.12,1.3,0.009,65,100,3.26,0.37,13.5,0.9874,W,5
296,7.7,0.22,0.42,1.9,0.052,10,87,3.3,0.49,11.8,0.9922,W,6
297,7.2,0.4,0.49,1.1,0.048,11,138,3.01,0.42,9.3,0.9929,W,5
298,6.8,0.39,0.34,7.4,0.02,38,133,3.18,0.44,12,0.99212,W,7
299,7.2,0.39,0.63,11,0.044,55,156,3.09,0.44,8.7,0.9974,W,6
300,7.6,0.3,0.42,2,0.052,6,24,3.44,0.82,11.9,0.9963,R,6
